+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|99    |2021-04-09|9                |Friday   |6               |14  |4        |April    |2021-04-01   |2      |2021|99          |0           |Fri 9th Apr 2021 |Friday 9th April 2021        |1617948000|0        |NULL                       |
|100   |2021-04-10|10               |Saturday |7               |14  |4        |April    |2021-04-01   |2      |2021|100         |0           |Sat 10th Apr 2021|Saturday 10th April 2021     |1618034400|0        |NULL                       |
|101   |2021-04-11|11               |Sunday   |1               |15  |4        |April    |2021-04-01   |2      |2021|101         |0           |Sun 11th Apr 2021|Sunday 11th April 2021       |1618120800|0        |NULL                       |
|102   |2021-04-12|12               |Monday   |2               |15  |4        |April    |2021-04-01   |2      |2021|102         |0           |Mon 12th Apr 2021|Monday 12th April 2021       |1618207200|0        |NULL                       |
|103   |2021-04-13|13               |Tuesday  |3               |15  |4        |April    |2021-04-01   |2      |2021|103         |0           |Tue 13th Apr 2021|Tuesday 13th April 2021      |1618293600|0        |NULL                       |
|104   |2021-04-14|14               |Wednesday|4               |15  |4        |April    |2021-04-01   |2      |2021|104         |0           |Wed 14th Apr 2021|Wednesday 14th April 2021    |1618380000|0        |NULL                       |
|105   |2021-04-15|15               |Thursday |5               |15  |4        |April    |2021-04-01   |2      |2021|105         |0           |Thu 15th Apr 2021|Thursday 15th April 2021     |1618466400|0        |NULL                       |
|106   |2021-04-16|16               |Friday   |6               |15  |4        |April    |2021-04-01   |2      |2021|106         |0           |Fri 16th Apr 2021|Friday 16th April 2021       |1618552800|0        |NULL                       |
|107   |2021-04-17|17               |Saturday |7               |15  |4        |April    |2021-04-01   |2      |2021|107         |0           |Sat 17th Apr 2021|Saturday 17th April 2021     |1618639200|0        |NULL                       |
|108   |2021-04-18|18               |Sunday   |1               |16  |4        |April    |2021-04-01   |2      |2021|108         |0           |Sun 18th Apr 2021|Sunday 18th April 2021       |1618725600|0        |NULL                       |
|109   |2021-04-19|19               |Monday   |2               |16  |4        |April    |2021-04-01   |2      |2021|109         |0           |Mon 19th Apr 2021|Monday 19th April 2021       |1618812000|0        |NULL                       |
|110   |2021-04-20|20               |Tuesday  |3               |16  |4        |April    |2021-04-01   |2      |2021|110         |0           |Tue 20th Apr 2021|Tuesday 20th April 2021      |1618898400|0        |NULL                       |
|111   |2021-04-21|21               |Wednesday|4               |16  |4        |April    |2021-04-01   |2      |2021|111         |0           |Wed 21st Apr 2021|Wednesday 21st April 2021    |1618984800|0        |NULL                       |
|112   |2021-04-22|22               |Thursday |5               |16  |4        |April    |2021-04-01   |2      |2021|112         |0           |Thu 22nd Apr 2021|Thursday 22nd April 2021     |1619071200|0        |NULL                       |
|113   |2021-04-23|23               |Friday   |6               |16  |4        |April    |2021-04-01   |2      |2021|113         |0           |Fri 23rd Apr 2021|Friday 23rd April 2021       |1619157600|0        |NULL                       |
